build_name,character,weapon,artifact_set,artifact_main
Chasca,Chasca,Flower-Wreathed Feathers,Obsidian Codex,hp:atk:atk_:atk_:critDMG
Navia,Navia,Verdict,Nightime Whispers in the Echoing Woods,hp:atk:atk_:geo_dmg_:critRate
Dehya,Dehya,Makhaira Aquamarine,Vouroukasha's Glow,hp:atk:eleMas:eleMas:eleMas
Nahida,Nahida,Wandering Evenstar,Flower of Paradise Lost,hp:atk:eleMas:eleMas:eleMas
Shenhe,Shenhe,Calamity Queller,Noblesse Oblige,hp:atk:atk_:atk_:atk_
Yelan,Yelan,Aqua Simulacra,Tenacity of the Milileth,hp:atk:hp_:hp_:hp_
Ayato,Kamisato Ayato,Wolf Fang,Echos of an Offering,hp:atk:atk_:hydro_dmg_:critDMG
Miko,Yae Miko,Mappa Mare,Gilded Dreams,hp:atk:eleMas:eleMas:eleMas
Ayaka,Kamisato Ayaka,Kagotsurube Isshin,Blizzard Strayer,hp:atk:enerRech_:cryo_dmg_:critDMG
Gaming,Gaming,Fruitful Hook,Crimson Witch of Flames,hp:atk:eleMas:pyro_dmg_:critDMG
Cyno,Cyno,Ballad of the Fjords,Thundering Fury,hp:atk:eleMas:electro_dmg_:critDMG
Keqing,Keqing,Anemona Kageuchi,Thundering Fury,hp:atk:atk_:electro_dmg_:critDMG
Ifa,Ifa,The Widsith,Shimenawa's Reminiscence,hp:atk:eleMas:eleMas:eleMas
Qiqi,Qiqi,Narzissenkreuz Blade,Maiden Beloved,hp:atk:atk_:atk_:heal_
Burnfei,Yanfei,Eye of Perception,Crimson Witch of Flames,hp:atk:atk_:pyro_dmg_:critDMG
LanYan,Lan Yan,Skyward Atlas,Viridescent Venerer,hp:atk:atk_:atk_:atk_
Tartaglia,Tartaglia,End of the Line,Nymph's Dream,hp:atk:atk_:hydro_dmg_:critDMG
Xianyun,Xianyun,Crane's Echoing Call,Viridescent Past,hp:atk:atk_:atk_:heal_
Chongyun,Chongyun,Akuoumaru,Blizzard Strayer,hp:atk:eleMas:eleMas:critDMG
Xiao,Xiao,Primordial Jade Winged Spear,Vermillion Hereafter,hp:atk:enerRech_:d:Crit-DGM
Sara,Kujou Sara,Amos Bow,Nfoblesse Oblige,EHP:atk_:R:atk_:atk_
Jean,Jean,Skyward Blade,Viridescent Veneter,hp:atk:enerRech_:atk_:heal_
Klee,Klee,TBD,Crimson Witch of Flames,hp:atk:eleMas:pyro_dmg_:critDMG
Xilonen,Xilonen,Peak Patrol Song,Archaic Petra,hp:atk:def_:def_:heal_
Iansan,Iansan,Tamayuratei no Ohanashi,Vermillion Hereafter:Gladiator's Triumph,hp:atk:enerRech_:atk_:atk_
Charlotte,Charlotte,Frostbearer,Noblesse Obliege,hp:atk:enerRech_:atk_:heal_
Candace,Candace,Staff of Homa,Gilded Dreams,hp:atk:hp_:hp_:hp_
Faruzan,Faruzan,Skyward Harp,Desert Pavilion Chroncile,hp:atk:enerRech_:anemo_dmg_:critDMG
Amber,Amber,Mooun's Moon,Wanderer's Troupe,hp:atk:enerRech_:pyro_dmg_:critDMG
Barbara,Barbara,Ash-Graven Drinking Horn,Heart of Depths,hp:atk:atk_:hydro_dmg_:critDMG
Thoma,Thoma,Dragon's Bane,Noblesse Oblige,hp:atk:enerRech_:eleMas:eleMas
Chevreuse,Chevreuse,Black Tassel,Song of Days Past,hp:atk:hp_:hp_:hp_
Xinyan,Xinyan,Earth Shaker,Husk of Oppulent Dreams:Retracing Bolide,hp:atk:def_:def_:def_
Sayu,Sayu,Tidal Shadow,Viridescent Venerer,hp:atk:atk_:atk_:atk_
Furina,Furina,Fleuvre Cendre Ferryman,Tenacity of the Milileth,hp:atk:enerRech_:hp_:hp_
Ororon,Ororon,Favonius Warbow,Scroll of the Hero of Cinder City,hp:atk:enerRech_:electro_dmg_:critRate
Kaveh,Kaveh,Makhaira Aquamarine,Gilded Dreams,hp:atk:eleMas:eleMas:critDMG
Kirara,Kirara,Serenity Call,Deepwood Memories,hp:atk:hp_:hp_:hp_
Lisa,Lisa,Hakushin Ring,Emblem of Severed Fate,hp:atk:enerRech_:electro_dmg_:critRate
Ganyu,Ganyu,Amos' Bow,Blizzard Strayer,hp:atk:atk_:Cryo-DMG:critDMG
Sucrose,Sucrose,Favonius Codex,Viridescent Venerer,hp:atk:eleMas:eleMas:eleMas
Yaoyao,Yaoyao,Rightful Reward,Deepwood Memories,hp:atk:hp_:hp_:heal_ 
Ningguang,Ningguang,Otherwordly Story,Archaic Petra,hp:atk:enerRech_:geo_dmg_:critRate
YunJin,Yun Jin,Deathmatch,Husk of Opulent Dreams,hp:atk:enerRech_:def_:def_
Gorou,Gorou,Sacrificial Bow,Noblesse Obliege,hp:atk:def_:def_:def_
Mona,Mona,Thrilling Tales of the Dragon Slayer,Emblem of Severed Fate,hp:atk:enerRech_:hydro_dmg_:critRate
Xiangling,Xiangling,The Catch,Emblem of Severed Fate,hp:atk:enerRech_:pyro_dmg_:critRate
Rosaria,Rosaria,Favonius Lance,Noblesse Oblige,hp:atk:enerRech_:cryo_dmg_:critRate
Fischl,Fischl,Compound Bow,Pale Flame,hp:atk:atk_:atk_:critDMG
Tighnari,Tighnari,The Viridescent Hunt,Wanderer's Troupe,hp:atk:eleMas:dendro_dmg__:critDMG
Heizou,Shikanoin Heizou,Solar Pearl,Shimenawa's Reminiscence,hp:atk:atk_:anemo_dmg_:critRate
Sethos,Sethos,Cloudforged,Wanderer's Troupe,hp:atk:eleMas:electro_dmg_:critRate
Dori,Dori,The Bell,Tenacity of the Milileth-Vourukasha's Glow,hp:atk:enerRech_:hp_:heal_
Dahlia,Dahlia,Calamity of Esshu,Tenacity of the Milileth,hp:atk:hp_:hp_:hp_
Diona,Diona,Recurve Bow,Tenacity of the Milileth:Vourukasha's Glow,hp:atk:hp_:hp_:hp_
Collei,Collei,King's Squire,Deepwood Memories,hp:atk:atk_:atk_:atk_ 
Noelle,Noelle,Whiteblind,Retracing Bolide,hp:atk:def_:def_:heal_ 
Shinobu,Kuki Shinobu,Dark Iron Sword,Gilded Dreams,hp:atk:eleMas:eleMas:eleMas
Mika,Mika,Prototype Staglitter,Maiden Beloved,hp:atk:hp_:hp_:heal_
Bennett,Bennett,Sapwood Blade,Noblesse Oblige,hp:atk:enerRech_:hp_:heal_
Razor,Razor,Wolf's Gravesword,Pale Flame,hp:atk:AKT:Physical_DMG:critRate
Beidou,Beidou,Favonius Greatsword,Emblem of Severed Fate,hp:atk:hp_:atk_:enerRech_:electro_dmg_:critRate
Kazuha,Kaedehara Kazuha,Freedom Sworn,Viridescent Venerer,hp:atk:eleMas:eleMas:eleMas
Xingqui,Xingqui,Iron Sting,Heart of Depths-Nymph's Dream,hp:atk:enerRech_:atk_:critRate
Diluc,Diluc,Talking Stick,Crimson Witch of Flames,hp:atk:atk_:pyro_dmg_:critDMG
Kaeya,Kaeya,Wolf-Fang,Blizzard Strayer,hp:atk:atk_:cryo_dmg_:critDMG
Neuvilette,Neuvilette,Waverider Whirl,Emblem of Severed Fate:Silken Moon's Serenade,hp:atk:enerRech_:hp_:hp_
Trigger-Aino,Aino,Flame-Forged Insight,Flower of Paradise Lost,hp:atk:enerRech_:eleMas:critRate
EM-Layla,Layla,Key of Khaj Nisut,Blizzard Strayer-Finale of Deep Galleries,hp:atk:eleMas:cryo_dmg_:hp_
Support-Miko,Yae Miko,Mappa Mare,Thundering Fury,hp:atk:eleMas:eleMas:eleMas
VV-Lynette,Lynette,Wolf-Fang,Viridescent Venerer,hp:atk:enerRech_:eleMas:eleMas
Cryo-Freminet,Freminet,Akoumaru,Blizzard Strayer,hp:atk:atk_:cryo_dmg_:critDMG
Crimson-Lyney,Lyney,Rust,Crimson Witch of Flames,hp:atk:hp_:pyro_dmg_:critDMG
Support-Chiori,Chiori,Favonius Sword,Golden Troupe,hp:atk:def_:def_:critRate
IneffaEM,Ineffa,Kithain Cross Spear,Gilded Dreams,hp:atk:atk_:atk_:atk_
Healer-Kokomi,Sangonomiya Kokomi,Prototype Amber,Ocean-Hued Clam,hp:atk:eleMas:eleMas:eleMas
Phys-Keqing,Keqing,Prototype Rancour,Pale Flame:Bloodstained Chivalry,hp:atk:atk_:Physical_DMG:critDMG
Deepwood-Alhaitham,Alhaitham,Light of Folicar Incision,Deepwood Memories,hp:atk:eleMas:dendro_dmg__:critRate
Ascendant-Lauma,Lauma,Blackmarrow Lantern,Night Of the Sky's Unveiling,hp:atk:eleMas:eleMas:eleMas
Solo-Ineffa,Ineffa,Deathmatch,Gilded Dreams,hp:atk:eleMas:eleMas:critDMG
Deepwood-Nahida,Nahida,Wandering Evenstar,Deepwood Memories,hp:atk:eleMas:eleMas:eleMas
EM-Collei,Collei,King's Squire,Flower of Paradise Lost,hp:atk:eleMas:eleMas:eleMas
HP-Kirara,Kirara,The Dockhand's Assistant,Tenacity of the Milileth,hp:atk:hp_:hp_:hp_
Healer-Baizhu,Baizhu,Sacrificial Jade,Ocean-Hued Clam,hp:atk:enerRech_:hp_:heal_
Healer-Sigewinne,Sigewinne,Silvershower Heartstrings,Song of Day's Past,hp:atk:hp_:hp_:heal_
Healer-Varesa,Varesa,Prototype Amber,Maiden Beloved,hp:atk:enerRech_:electro_dmg_:heal_
Healer-Xianyun,Xianyun,Crane's Echoing Call,Song of Day's Past,hp:atk:atk_:atk_:heal_
Healer-Jean,Jean,Skyward Blade,Maiden Beloved,hp:atk:atk_:atk_:heal_
Healer-Nahida,Nahida,Prototype Amber,Deepwood Memories,hp:atk:eleMas:eleMas:eleMas
Tankfei,Yanfei,Ring of Yaxche,Tenacity of the Milileth,hp:atk:enerRech_:hp_:hp_
Healer-Yaoyao,Yaoyao,Rightful Reward,Ocean-Hued Clam,hp:atk:hp_:hp_:heal_
Healer-Barbara,Barbara,Ash-Graven Drinking Horn,Maiden Beloved,hp:atk:hp_:hp_:heal_
Burn-Xiangling,Xiangling,The Catch,Crimson Witch of Flames,hp:atk:enerRech_:pyro_dmg_:critRate
Bloom-Kaveh,Kaveh,Makhaira Aquamarine,Flower of Paradise Lost,hp:atk:eleMas:dendro_dmg__:critDMG
Plunge-Chongyun,Chongyun,Fruitful Hook,Long Night's Oath,hp:atk:atk_:Physical_DMG:critDMG
Burn-Amber,Amber,Stringless,Crimson Witch of Flames,hp:atk:eleMas:pyro_dmg_:eleMas
Support-Faruzan,Faruzan,Skyward Harp,Viridescent Venerer,hp:atk:enerRech_:atk_:atk_
Hydro-Candace,Candance,Staff of Homa,Nymph's Dream,hp:atk:hp_:hp_:hp_
Burst-Thoma,Thoma,Dragon's Bane,Noblesse Oblige,hp:atk:enerRech_:eleMas:eleMas
DPS-Sucrose,Sucrose,Wandering Evenstar,Gilded Dreams,hp:atk:eleMas:anemo_dmg_:critDMG
Natlan-Kachina,Kachina,Footprints of the Rainbow,Scroll of the Hero of Cinder City,hp:atk:def_:geo_dmg_:critRate
Support-Ororon,Ororon,Favonius Warbow,Golden Troupe,hp:atk:enerRech_:electro_dmg_:critRate
Natlan-Citlali,Citlali,Sacrificial Fragments,Scroll of the Hero of Cinder City,hp:atk:eleMas:eleMas:eleMas
Natlan-Xilonen,Xilonen,Peak Patrol Song,Scroll of the Hero of Cider City,hp:atk:def_:def_:heal_
Natlan-Iansan,Iansan,Tamayuratei no Ohanashi,Scroll of the Hero of Cinder City,hp:atk:enerRech_:atk_:atk_
Phys-Rosaria,Rosaria,Dragonspine Spear,Pale Flame,hp:atk:enerRech_:Physical_DMG:critRate
HP-Thoma,Thoma,Rightful Reward,Tenacity of the Milileth,hp:atk:hp_:hp_:hp_
Melt-Ayaka,Kamisato Ayaka,Xiphos' Moonlight,Finale of Deep Galleries-Blizzard Strayer,hp:atk:eleMas:eleMas:critDMG
Anemo-Ifa,Ifa,The Widsith,Desert Pavillion Chronicle,hp:atk:eleMas:eleMas:eleMas
Pyro-Lumine,Lumine,Lion's Roar,Scroll of the Hero of Cinder City,hp:atk:enerRech_:pyro_dmg_:heal_
Hydro-Lumine,Lumine,Sacrificial Sword,Emblem of Severed Fate,hp:atk:enerRech_:hydro_dmg_:critDMG
Anemo-Lumine,Lumine,Sacrificial,Viridescent Venerer,hp:atk:enerRech_:anemo_dmg_:critDMG
EM-Raiden,Raiden Shogun,Kithain Cross Spear,Gilded Dreams,hp:atk:eleMas:eleMas:eleMas
ER-Raiden,Raiden Shogun,The Catch,Emblem of Severed Fate,hp:atk:enerRech_:electro_dmg_:critRate
Plunge-Kazuha,Kazuha,Kagotsurube Isshin,Long Night's Oath,hp:atk:enerRech_:anemo_dmg_:critDMG
DPS-Neuvilette,Neuvilette,Flowing Purity,Marechaussee Hunter,hp:atk:hp_:hydro_dmg_:critDMG
Support-Fischl,Fischl,Stringless,Golden Troupe,hp:atk:enerRech_:electro_dmg_:critRate
HP-Bennett,Bennett,Sapwood Blade,Tenacity of the Milileth,hp:atk:enerRech_:atk_:heal_
Phys-Faruzan,Faruzan,Compound Bow,Bloodstained Chivalry,hp:atk:atk_:atk_:critDMG
EM-Razor,Razor,Flame-Forged Insight,Thundering Fury,hp:atk:eleMas-EM-EM
Bolide-Layla,Layla,Prototype Rancour,Retracing Bolide,hp:atk:enerRech_-atk_-Crit_DMG
Ascendant-Freminet,Freminet,Rainslasher,Night of the Sky's Unveiling,hp:atk:eleMas:eleMas:critRate
