build1,build2,build3,build4
Keqing,Deepwood-Nahida,Sara,Xilonen
Keqing,Healer-Baizhu,Sara,Deepwood-Kirara
Keqing,Ororon,Dahlia,Sucrose
Keqing,Aino,Ineffa,Xilonen
Phys-Keqing,Mika,Xianyun,Phys-Rosaria 
Bolide-Layla,Phys-Rosaria,ER-Raiden,Bennett
Bolide-Layla,Aino,Ineffa,Mona
Freeze-Layla,Furina,Healer-Escoffier,Burst-Shenhe
Freeze-Layla,Furina,Healer-Escoffier,Yelan
Freeze-Layla,Furina,Healer-Escoffier,Hydro-Candace
Melt-Layla,Shenhe,Furina,Bennett
Marechausse-Lynette,Furina,Healer-Sigewinne,Xiangling
Crimson-Lyney,Bennett,Support-Citlali,Amber
Crimson-Lyney,Bennett,Amber,Lan Yan
Crimson-Lyney,Thoma,Emilie,Baizhu
Marechausee-Lyney,Chevreuse,Bennett,Beidou
Marechausee-Lyney,Bennett,Amber,Support-Sucrose
Marechausee-Lyney,Bennett,Chevreuse,EM-Raiden
Plunge-Lynette,Furina,Faruzan,VV-Xianyun
Mizuki,Furina,EM-Kuki Shinobu,Support-Ororon 
Mizuki,Furina,Burst-Layla,EM-Raiden
Mizuki,Burst-Layla,Kuki Shinobu,Amber
Mizuki,Burst-Layla,Furina,EM-Kuki Shinobu 
Mizuki,HP-Thoma,Furina,EM-Kuki Shinobu
Mualani,Support-Kazuha,Healer-Kokomi,Natlan-Citlali
Mualani,EM-Dehya,Healer-Nahida,Emilie
Mualani,Xinyan,Support-Chiori,Natlan-Kachina
Mualani,Kokomi,Natlan-Kachina,Xiangling
Mualani,Xilonen,Mona,Pyro-Lumine
Mualani,Ineffa,Sucrose,Mona
Mualani,Aino,Ineffa,Natlan-Xilonen
Mulani,Kokomi,Pyro-Lumine,Lauma
Navia,Xilonen,EM-Dehya,Furina
Navia,Xilonen,Yelan,Chongyun
Navia,Xilonen,Furina,Chongyun
Navia,Gorou,Xilonen,Shield-Layla
Nilou,Nahida,Yaoyao,Furina
Nilou,Kokomi,Collei,Nahida
Nilou,Nahida,Baizhu,Ayato
Nilou,Baizhu,Aino,Lauma 
Nilou,Nahida,Kokomi,Lauma
Nilou,Nahida,Aino,Lauma 
Noelle,Furina,Healer-Xianyun,Yun Jin
Noelle,Furina,Yun Jin,Gorou
Noelle,Furina,Xilonen,Gorou
EM-Raiden,Bennett,Sara,VV-Sucrose 
Razor,Mika,Xianyun,Phys-Rosaria 
Razor,Furina,Bennett,Nahida
Razor,Dahlia,Rosaria,Mika
EM-Rosaria,Beidou,Candace,VV-Jean
Sayu,ATK-Iansan,Emilie,Burn-Xiangling
Sethos,Deepwood-Nahida,Furina,Dori
Sethos,VV-Sucrose,Deepwood-Kirara,Furina
Sethos,Sara,Nahida,Yaoyao
Sethos,Ineffa,Sucrose,Mona
Sethos,Aino,Ineffa,Xilonen
Sethos,Ineffa,Candace,Yaoyao
Heizou,LanYan,Shinobu,Yelan
Heizou,Thoma,Kazuha,Yelan
Heizou,Ineffa,Sayu,Mona
Heizou,Aino,Ineffa,Sayu
Heizou,LanYan,Shinobu,Xiangling 
Heizou,Yanfei,Xianling,Xingqui 
Heizou,Ayaka,Rosaria,Kokomi
Sigewinne,Neuvilette,EM-Raiden,Support-Ororon
Sigewinne,Neuvilette,Support-Kazuha,Support-Ororon
Sigewinne,Dehya,Furina,Nahida
Sigewinne,Thoma,Emilie,Mualani
Sigewinne,Bubble-Neuvilette,Sucrose,Ineffa
DPS-Sucrose,Anemo-Lumine,EM-Thoma,Bennett
Tartaglia,Yelan,Ineffa,Jean
Tighnari,Deepwood-Nahida,EM-Raiden,LanYan
Varesa,Furina,Natlan-Iansan,Xianyun
Varesa,Chevreuse,Xiangling,Natlan-Iansan
Varesa,Sara,Deepwood-Collei,Healer-Baizhu 
Varesa,Xilonen,Natlan-Iansan,Chiori
Varesa,Baizhu,Emilie,Thoma
Varesa,Freeze-Rosaria,Bennett,Natlan-Citlali
Varesa,Itto,Qiqi,Support-Chiori
Varesa,Aino,Ineffa,Natlan-Xilonen
Varesa,Aino,Ineffa,Xianyun
Varesa,Ineffa,Furina,Xianyun
Healer-Varesa,Emilie,Furina,EM-Dehya
Healer-Varesa,Furina,Navia,Iansan
Xiao,Support-Faruzan,Furina,Healer-Xianyun
Miko,Healer-Baizhu,Deepwood-Nahida,Sara
Miko,Chevreuse,Sara,Xiangling 
Miko,ATK-Iansan,VV-Xianyun,Xiangling
Miko,Support-Citlali,Xiangling,Bennett 
Miko,Aino,Ineffa,Lauma
Miko,Ineffa,Sigewinne,Kazuha 
Burnfei,Furina,Xinqui,Support-Kazuha
Burnfei,Yaoao,Emilie,VV-Sucrose
Burnfei,Off-Field-Amber,Yelan,Xinqui
Burnfei,Miko,Bennett,Chevreuse
Burnfei,Furina,Burst-Layla,Qiqi
Burnfei,VV-Xianyun,Yelan,Furina
Burnfei,Chevreuse,Support-Ororon,EM-Raiden
Burnfei,Charlotte,Sucrose,Furina
Yoimiya,VV-Lan Yan,Charlotte,Yelan
Yoimiya,Rosaria,Bennett,Emilie
Yoimiya,Diona,Yelan,Sucrose 
Yoimiya,Chevreuse,Iansan,Support-Miko
Yoimiya,Citlali,Sucrose,Kokomi
Yoimiya,Kokomi,Emilie,Nahida
Yoimiya,LanYan,Bennett,Yelan 
Yoimiya,YunJin,Bennett,Xingqui
Yoimiya,Dahlia,Sucrose,Xilonen
Yoimiya,Furina,Baizhu,Emilie
Yoimiya,Yelan,Bennet,Kazuha
Yoimiya,Emilie,Kokomi,Lauma
Mizuki,Melt-Layla,EM-Shinobu,Amber
Mizuki,Melt-Layla,Furina,Xiangling
Mizuki,Melt-Layla,Furina,Xilonen
Mizuki,Diona,Melt-Layla,Xiangling
Mizuki,Yelan,Healer-Kokomi,Furina
Mizuki,Support-Miko,Furina,Melt-Layla
Mizuki,Furina,Candace,Amber
Mizuki,Ineffa,EM-Raiden,Mona
Mizuki,Aino,Ineffa,EM-Raiden
Mizuki,Inefa,Furina,Miko
